run_id,timestamp,owner,method,variant,instance,T,L,official_status,SRS,Ccrit,Cdev,Csmooth,dSRS_vs_historical,dSRS_vs_threshold,dSRS_vs_dp,min_storage,weeks_below_Smin,release_balance_error,feasible,runtime_seconds,delta_u,u_max,eta,S_max,S_min,delta_u_full_ref,w1,w2,w3,encoding,n_qubits,p_depth,energy,approximation_ratio,seed,simulator,penalties,window_start,window_label,beta,gamma,optimizer_iterations
debug_T5_L3_brute_middle_20260701-011613,20260701-011613,,brute,,debug,5,3,preliminary,-0.29488241871090165,1.1960119842224202e+18,0.0,0.0,0.0,0.09156958943793275,0.0,352561412.3621799,6,0.0,True,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_historical_stress_20260701-011613,20260701-011613,,historical,,debug,5,3,preliminary,-0.3511151828622841,1.4240861438315835e+18,0.0,0.0,0.0,0.08597020768424929,0.0,317462078.0662278,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_threshold_pure_stress_20260701-011613,20260701-011613,,threshold,pure,debug,5,3,preliminary,-0.4370853905465334,1.3671827861504323e+18,77723731063936.0,0.0,-0.08597020768424929,0.0,-0.08597020768424929,329290125.9150947,6,11895491.01904951,False,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_threshold_clamped_stress_20260701-011613,20260701-011613,,threshold,clamped,debug,5,3,preliminary,-0.4370853905465334,1.3671827861504323e+18,77723731063936.0,0.0,-0.08597020768424929,0.0,-0.08597020768424929,329290125.9150947,6,11895491.01904951,False,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_threshold_balanced_stress_20260701-011613,20260701-011613,,threshold,balanced,debug,5,3,preliminary,-0.3726189243888955,1.404835820128985e+18,15544746212787.2,15544746212787.2,-0.021503741526611386,0.0644664661576379,-0.021503741526611386,321404760.68251675,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_dp_stress_20260701-011613,20260701-011613,,dp,,debug,5,3,preliminary,-0.3511151828622841,1.4240861438315835e+18,0.0,0.0,0.0,0.08597020768424929,0.0,317462078.0662278,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_brute_stress_20260701-011613,20260701-011613,,brute,,debug,5,3,preliminary,-0.3511151828622841,1.4240861438315835e+18,0.0,0.0,0.0,0.08597020768424929,0.0,317462078.0662278,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
small_T12_L3_historical_first_20260701-011633,20260701-011633,,historical,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,0.0,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,0,first,,,
small_T12_L3_threshold_pure_first_20260701-011633,20260701-011633,,threshold,pure,small,12,3,preliminary,-0.3746717088403238,2.413752200039485e+18,90436273864909.84,0.0,-0.07840740489333592,0.0,-0.07840740489333592,375611223.3226168,13,19950597.00360389,False,0.0,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,0,first,,,
small_T12_L3_threshold_clamped_first_20260701-011633,20260701-011633,,threshold,clamped,small,12,3,preliminary,-0.3746717088403238,2.413752200039485e+18,90436273864909.84,0.0,-0.07840740489333592,0.0,-0.07840740489333592,375611223.3226168,13,19950597.00360389,False,0.0,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,0,first,,,
