#Data Set Export - Total Storage.Web-Daily-tcm@08461200,
Timestamp (UTC-06:00),Value (m^3)
2025-12-02 00:00:00,353355600.00000024
2025-12-03 00:00:00,353042599.9999996
2025-12-04 00:00:00,353512000
2025-12-05 00:00:00,355627399.99999976
2025-12-06 00:00:00,354529985.9418739
2025-12-07 00:00:00,353930802.6152051
2025-12-08 00:00:00,353723619.288539
2025-12-09 00:00:00,352960953.74269664
2025-12-10 00:00:00,352334753.7426964
2025-12-11 00:00:00,352491162.0239655
2025-12-12 00:00:00,352569362.02396464
2025-12-13 00:00:00,352848091.7575863
2025-12-14 00:00:00,352561412.3621799
2025-12-15 00:00:00,355094275.741003
2025-12-16 00:00:00,354996291.57253474
2025-12-17 00:00:00,356712100.10507405
2025-12-18 00:00:00,357115400.0000004
2025-12-19 00:00:00,357585800.0000005
2025-12-20 00:00:00,357585800.0000005
2025-12-21 00:00:00,357507400.0000002
2025-12-22 00:00:00,357977399.99999976
2025-12-23 00:00:00,358760400.0000004
2025-12-24 00:00:00,360986000
2025-12-25 00:00:00,367422800.0000005
2025-12-26 00:00:00,376656000
2025-12-27 00:00:00,383856000
2025-12-28 00:00:00,387667000
2025-12-29 00:00:00,391055000
2025-12-30 00:00:00,395205400.0000007
2025-12-31 00:00:00,395036199.99999976
2026-01-01 00:00:00,395798599.9999993
2026-01-02 00:00:00,397493600.0000005
2026-01-03 00:00:00,398848599.99999976
2026-01-04 00:00:00,399103000
2026-01-05 00:00:00,398340600.00000024
2026-01-06 00:00:00,398653253.10527503
2026-01-07 00:00:00,400350932.7631882
2026-01-08 00:00:00,401135399.99999976
2026-01-09 00:00:00,403464800.0000003
2026-01-10 00:00:00,405117999.99999976
2026-01-11 00:00:00,406862400.00000024
2026-01-12 00:00:00,403832000
2026-01-13 00:00:00,404142990.44059235
2026-01-14 00:00:00,405613099.3990039
2026-01-15 00:00:00,408184135.4720851
2026-01-16 00:00:00,408094027.6200242
2026-01-17 00:00:00,409839919.76796335
2026-01-18 00:00:00,409841611.915903
